Name,Train Size,Loss,Accuracy,Precision,Recall,PR AUC,ROC AUC,F1 Score
wgEncodeAwgTfbsHaibGm12892Pax5c20V0416101UniPk,16236,0.3409130573272705,0.848231852054596,0.8578354120254517,0.8457435965538025,0.9327758550643921,0.9317139387130737,0.850498616695404
wgEncodeAwgTfbsUwGm12873CtcfUniPk,78214,0.11451271176338196,0.9604166746139526,0.9625918865203857,0.9577711820602417,0.9905895590782166,0.9909558892250061,0.9599117040634155
wgEncodeAwgTfbsSydhK562NfyaUniPk,6526,0.17689605057239532,0.9395933151245117,0.9578861594200134,0.9074320197105408,0.97891765832901,0.9799913167953491,0.9297305345535278
wgEncodeAwgTfbsSydhHepg2Mazab85725IggrabUniPk,19150,0.28865039348602295,0.8824388980865479,0.8858447670936584,0.8782329559326172,0.9506786465644836,0.9511758089065552,0.8810712099075317
wgEncodeAwgTfbsHaibPfsk1Taf1V0416101UniPk,9120,0.31890860199928284,0.8699080348014832,0.8784709572792053,0.853004515171051,0.9394155740737915,0.9380426406860352,0.8649266958236694
wgEncodeAwgTfbsHaibGm12878Taf1Pcr1xUniPk,22282,0.343975305557251,0.8483055233955383,0.8546566367149353,0.8411605358123779,0.9302540421485901,0.9295854568481445,0.8463422656059265
wgEncodeAwgTfbsSydhK562Stat1Ifna30UniPk,2342,0.3499695658683777,0.8597972989082336,0.8398225903511047,0.8823406100273132,0.9340085983276367,0.9367780089378357,0.8594433069229126
wgEncodeAwgTfbsUtaMcf7Pol2SerumstvdUniPk,30028,0.3711733818054199,0.8300212025642395,0.8317931294441223,0.8289552330970764,0.915692925453186,0.914605975151062,0.8295186758041382
wgEncodeAwgTfbsSydhGm12878Rfx5200401194IggmusUniPk,6778,0.31863147020339966,0.864386796951294,0.8699733018875122,0.8475016951560974,0.9432278871536255,0.9436006546020508,0.8581676483154297
wgEncodeAwgTfbsSydhHelas3Smc3ab9263IggrabUniPk,61223,0.1711125671863556,0.9311738014221191,0.9431136250495911,0.917974591255188,0.9818021655082703,0.9820678234100342,0.9297648668289185
wgEncodeAwgTfbsSydhHepg2ErraForsklnUniPk,1870,0.39455491304397583,0.8803418874740601,0.8668828010559082,0.8807925581932068,0.9291352033615112,0.9361165761947632,0.873758852481842
wgEncodeAwgTfbsSydhK562Hmgn3UniPk,22918,0.3400518596172333,0.8507853150367737,0.8581162095069885,0.8436003923416138,0.9312310218811035,0.9304568767547607,0.849503219127655
wgEncodeAwgTfbsSydhMcf7Hae2f1UcdUniPk,30416,0.26140859723091125,0.8923918604850769,0.8894394636154175,0.8924292325973511,0.959604024887085,0.9588857889175415,0.887815535068512
wgEncodeAwgTfbsHaibH1hescTead4sc101184V0422111UniPk,31000,0.19495294988155365,0.9262389540672302,0.9121062159538269,0.9078858494758606,0.9764178991317749,0.9770660996437073,0.9094988703727722
wgEncodeAwgTfbsHaibH1hescCtcfsc5916V0416102UniPk,83459,0.0914459377527237,0.968961238861084,0.9654202461242676,0.972436249256134,0.9933998584747314,0.9938253164291382,0.9686481952667236
wgEncodeAwgTfbsSydhHelas3Ap2alphaUniPk,29563,0.3405590355396271,0.8590749502182007,0.8699284195899963,0.8440172672271729,0.9353752136230469,0.9347645044326782,0.8558317422866821
wgEncodeAwgTfbsHaibSknshPol24h8V0416101UniPk,43579,0.37657734751701355,0.8333027958869934,0.837617814540863,0.8222160935401917,0.913690447807312,0.9143602252006531,0.8286392688751221
wgEncodeAwgTfbsSydhGm12878Tblr1ab24550IggmusUniPk,21455,0.36122167110443115,0.843056857585907,0.8512065410614014,0.8319680094718933,0.9215087890625,0.9217627644538879,0.8403869867324829
wgEncodeAwgTfbsSydhGm12878P300IggmusUniPk,27325,0.3440817594528198,0.8551784753799438,0.8663614988327026,0.8436827659606934,0.9304474592208862,0.9300377368927002,0.8540932536125183
wgEncodeAwgTfbsHaibHelas3Taf1Pcr1xUniPk,24923,0.36897969245910645,0.8331729173660278,0.838441014289856,0.8254287242889404,0.9178215265274048,0.9176660180091858,0.8311232924461365
wgEncodeAwgTfbsSydhK562Mafkab50322IggrabUniPk,30057,0.14056704938411713,0.9494426846504211,0.9583264589309692,0.9413727521896362,0.9855438470840454,0.9866693019866943,0.9493719935417175
wgEncodeAwgTfbsSydhA549MaxIggrabUniPk,15545,0.2943967878818512,0.8798868060112,0.8722190260887146,0.8787643313407898,0.9508693814277649,0.950045645236969,0.874460756778717
wgEncodeAwgTfbsHaibSknmcPol24h8V0416101UniPk,37830,0.35069820284843445,0.8495145440101624,0.8542496562004089,0.8383111357688904,0.9273495078086853,0.9267576336860657,0.843999981880188
wgEncodeAwgTfbsHaibHepg2Atf3V0416101UniPk,5206,0.15405097603797913,0.9340490698814392,0.9331303238868713,0.9465967416763306,0.9866923093795776,0.9861681461334229,0.9391871094703674
wgEncodeAwgTfbsSydhK562Pol3UniPk,322,0.23147553205490112,0.9146341681480408,0.9459459185600281,0.875,0.9674074649810791,0.965645432472229,0.9090908765792847
wgEncodeAwgTfbsSydhGm19099NfkbTnfaIggrabUniPk,12181,0.2749457061290741,0.8923884630203247,0.9016161561012268,0.8839843273162842,0.9574537873268127,0.9595626592636108,0.8921138644218445
